id,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
97,18,6.2,4.3,0.4,15.6,0.061,-4.5,-7.8
98,9.6,3.1,0.7,2,3.8,0.079,-1.8,0.1
99,28.9,10,7.5,1.1,59.6,0.11,-1.3,4.4
100,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5
101,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3
102,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1
103,,,,,,,,
104,4.1,1.8,1,0.5,-0.1,-0.028,-5.9,-0.1
105,16,5.5,1.6,1.9,6.7,0.044,-2,0
106,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1
107,,,,,,,,
108,15.2,6.3,1.8,1,0.4,0.006,-4.7,-2.3
109,36.3,16.2,7.5,3.3,69.7,0.13,1.4,22
110,30.1,12.6,3.1,6.1,62.5,0.116,1.4,21.9
111,29.4,11.7,6.7,2.8,28.6,0.078,-0.2,7.8
112,30.8,9.8,10.3,1,117,0.153,1.7,33.9
113,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.6
114,19.7,8,4.2,1.4,3,0.024,-3.6,-2.4
115,21.2,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9
116,20,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2
117,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8
118,24.2,11,6.2,1.1,22.8,0.109,-0.6,3.4
119,29.8,13.8,3,6.1,65.9,0.147,3.6,30.3
120,20.9,7.3,1.9,4,35.9,0.109,1.3,13.3
121,27.1,8,7.9,0.9,86.9,0.141,0.5,18.4
122,4.3,1.9,1,0.3,0.2,0.036,-6.9,-0.4
123,19.1,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4
124,19.7,10.3,5.3,0.7,32.1,0.112,-1.1,3.2
125,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3
126,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1
127,17.1,6.7,1.5,2.2,1.5,0.024,-3.6,-1.2
128,8.2,2.8,1.9,0.3,-0.1,-0.021,-7.9,-0.5
129,23.4,10.1,2.5,4.9,25.6,0.103,2,12.1
130,9.4,3,2.4,0.3,1.2,0.069,-3.5,-0.3
131,19.6,8.5,5.2,0.6,8.1,0.066,-3.4,-2
132,25.5,9.6,3.8,2.8,44.7,0.09,0,11.7
133,,,,,,,,
134,7,2.6,1.3,0.4,1,0.054,-3.3,-0.3
135,14.4,4.3,3.3,0.8,10.6,0.06,-1.8,0.3
136,12,3.3,1.3,1.1,0.4,0.016,-4.4,-0.7
137,,,,,,,,
138,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
139,17.6,4.8,1.8,2.2,11,0.046,-1.9,0.2
140,1.5,3,0,0,0.1,1.442,30.1,0
141,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9
142,5.8,2.3,0.8,1.5,0,0.032,-1.8,0
143,25,9,2,4.3,3.7,0.058,-1.9,0.1
144,11.7,3.7,1.2,2.2,1.6,0.058,-1.8,0.1
145,17.3,6.3,1.4,3.1,14,0.071,-0.5,3.6
146,,,,,,,,
147,11,4.2,1,0.7,0.3,0.018,-4.7,-0.6
148,14.6,4.5,1.3,2.1,2.5,0.016,-3.9,-3.5
149,8,4.2,1,0.5,-1.3,-0.095,-7,-0.8
150,,,,,,,,
151,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2
152,,,,,,,,
153,28.7,11,3.1,2.7,27.2,0.097,0.2,7.5
154,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1
155,,,,,,,,
156,19.3,7.6,4.7,1.2,9.2,0.053,-2.5,-1
157,11.6,4.5,0.9,1.7,1,0.024,-3.6,-0.8
158,,,,,,,,
159,14.6,5,3.6,0.7,2.4,0.032,-4.9,-2.7
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,34.7,23.7,10.9,2.5,181.7,0.208,5.1,75.5
164,31,17.1,8.5,1.1,89.7,0.166,2.2,27.4
165,29.7,12.8,6.7,2.6,64.9,0.121,1,19.5
166,32.8,14.3,4.7,3.2,35.8,0.059,-0.9,8.2
167,28.2,11.9,6.5,1.6,32.8,0.089,-1,4.6
168,30.9,13,7.3,2.8,40.2,0.082,0.6,15.3
169,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8
170,25.3,12.3,3.4,1.5,17.5,0.069,-0.9,3.4
171,30.3,11.5,7.5,1.5,58.4,0.101,-0.3,11.8
172,16.7,5,4.1,0.7,24.9,0.116,-1.3,1.7
173,24.5,7,4.8,2.1,66.3,0.118,1.9,26.4
174,18.7,9,2.2,1.2,4.2,0.053,-3,-0.9
175,28,10.1,3.4,2,29.5,0.086,-0.8,4.9
176,23.8,10.1,3.2,1.7,17.1,0.07,-1.2,2.2
177,24.7,9.7,2.6,2.4,30.7,0.072,-0.7,6.6
178,7.2,2.4,0.6,1.7,0.6,0.026,-1.5,0.1
179,31.5,11.2,4.1,3.6,55.7,0.102,1.1,20.7
180,18.4,9,2.5,0.8,24.1,0.096,-0.1,5.8
181,20.9,10.9,3.8,1.3,9.4,0.067,-2.5,-0.9
182,22.1,8.2,1.5,1.7,27.7,0.088,-0.9,4.2
183,16.9,5.7,1.8,2.2,37.2,0.129,1.8,13.4
184,23,7.4,5.9,2.2,21.1,0.089,0.6,7.4
185,20.8,5.1,1.3,3.6,7.9,0.036,-2.9,-2.3
186,38.6,18.3,4.1,4,56.3,0.077,0.4,21
187,16.8,5.9,3.5,0.7,0,0.001,-4.6,-1.7
188,8.1,3.5,1.1,0.3,-0.3,-0.032,-8.2,-0.7
189,12.5,3.9,3,0.5,3.9,0.069,-3.9,-1.3
190,11.7,4.9,3.7,0.2,2.6,0.109,-3,-0.3
191,31.1,9.1,7.7,1.5,89.8,0.128,0,17.4
192,18.1,6.2,3.8,0.8,16.2,0.057,-2.9,-3.1
193,5.8,1.5,1.8,0.1,0.4,0.051,-5.1,-0.3
194,16.8,5.9,1.6,3,12,0.082,-0.8,2.2
195,7.4,2.4,0.9,0.7,0.2,0.037,-5.6,-0.3
196,17.7,5.1,1.3,2.8,3.2,0.039,-2.3,-0.3
197,12.4,3.5,1,2,1.6,0.041,-2.7,-0.3
198,8.9,2.3,0.7,2,-0.5,-0.032,-6.1,-0.8
199,4.1,2.2,0.5,0.2,0,-0.022,-5.7,-0.1
200,7.6,2.3,0.5,1,-0.3,-0.095,-6.9,-0.2
201,8,2.9,0.5,1.2,1.6,0.066,-2.4,-0.1
202,,,,,,,,
203,23.5,7,7.4,1.3,22,0.084,-2.7,-2.1
204,22.1,9.2,5.7,0.7,28.4,0.112,-1.8,0.6
205,31.1,12.8,2.4,2,4.2,0.087,-0.7,0.8
206,,,,,,,,
207,20,6.7,3,1.1,1,0.023,-2.8,-0.4
208,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3
209,16,4.2,3.5,0.7,0.4,0.048,-4.5,-0.2
210,5.5,1.9,0.8,0.3,0,0,-4.7,-0.3
211,,,,,,,,
212,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1
213,,,,,,,,
214,6,1.5,1.5,1,0,-0.126,-8.5,0
215,,,,,,,,
216,,,,,,,,
217,37.1,20.7,9.8,4.2,84.7,0.132,3.4,42.1
218,23.5,8.1,6.3,0.7,40.7,0.1,-0.2,8.9
219,33.7,15.2,4.5,5,61.9,0.125,2.5,26.9
220,37.3,19.1,5.4,4,43.7,0.092,0.3,13.4
221,31.7,16.7,3.8,2.7,22.8,0.061,-1,4.5
222,26.7,9.5,3.2,1.7,23.1,0.05,-2.5,-2.9
223,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5
224,32.5,15,7.4,1.9,47,0.088,-1.2,5.3
225,25.3,10.9,4.5,2,38.8,0.085,-0.3,9.7
226,24.8,8.5,2.2,2.7,32.9,0.068,-0.4,9.4
227,33.7,17.3,2.9,2.4,55.3,0.094,0.1,15
228,22.8,6.6,5,1.4,32.3,0.088,-0.4,7.3
229,18.2,8,1.5,2.6,7.3,0.048,-2.6,-1.1
230,6.9,2,2,0.2,0.3,0.087,-2.8,0
231,9.9,2.4,1.8,0.7,0.2,0.013,-4.8,-0.6
232,13.7,4.6,1.2,1.7,6.3,0.066,-2,0
233,12.2,4.5,1.1,1,1.3,0.025,-3.8,-1.2
234,6.1,1.3,0.7,0,-0.1,-0.064,-12.3,-0.2
235,13,5.1,2.7,0.3,0.3,0.005,-5.9,-2.5
236,19.8,6.9,3.5,1.4,16.4,0.104,0.7,5.2
237,18.2,7.6,1.7,1.9,5.8,0.04,-2,0
238,30.4,11.2,4.9,1.9,37.7,0.105,-0.5,6.8
239,20.1,4.1,6.1,0.5,37.8,0.107,-1.4,2.6
240,30,15.7,3.2,6,87.5,0.141,1.8,28.8
241,15.4,3.6,4.2,0.7,18.2,0.088,-2.5,-1.1
242,3.4,1.8,0.9,0.3,0.1,0.089,-3.7,0
243,3.1,1.5,1.1,0,0.1,0.036,-8.7,-0.1
244,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5
245,,,,,,,,
246,21.9,9.8,6.4,0.5,19,0.136,-0.3,2.9
247,6.2,2.4,1.3,0.4,0.1,0.02,-5.5,-0.1
248,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2
249,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9
250,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1
251,4.3,0.8,1,0.3,0,-0.077,-7.6,0
252,,,,,,,,
253,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7
254,,,,,,,,
255,,,,,,,,
256,9.3,3.3,1.7,0.2,-0.3,-0.028,-8.3,-0.8
257,,,,,,,,
258,9.7,2.1,0.6,2.2,0,-0.015,-2.9,0
259,7.2,3,1.7,0.5,0.5,0.06,-2.3,0
260,,,,,,,,
